Team,Pistol_W,Pistol_P,Pistol_WR,Eco_0_5_P,Eco_0_5_W,Eco_0_5_WR,Semi_Eco_5_10_P,Semi_Eco_5_10_W,Semi_Eco_5_10_WR,Semi_Buy_10_20_P,Semi_Buy_10_20_W,Semi_Buy_10_20_WR,Full_Buy_20_P,Full_Buy_20_W,Full_Buy_20_WR,Opp_team,Num_maps,Patch,match_id,Map
VKS,6,8,75.0,9,7,78.0,7,1,14.0,12,8,67.0,51,35,69.0,IMP,4.0,,8298,MATCH
IMP,2,8,25.0,16,2,12.0,8,0,0.0,13,6,46.0,42,20,48.0,VKS,4.0,,8298,MATCH
VKS,2,4,50.0,6,2,33.0,2,0,0.0,8,4,50.0,32,23,72.0,VK,2.0,,8296,MATCH
VK,2,4,50.0,7,3,43.0,4,0,0.0,10,3,30.0,27,13,48.0,VKS,2.0,,8296,MATCH
VKS,3,4,75.0,5,3,60.0,3,1,33.0,8,5,62.0,22,17,77.0,AU POINT,2.0,,8292,MATCH
AU POINT,1,4,25.0,7,1,14.0,3,0,0.0,9,4,44.0,19,7,37.0,VKS,2.0,,8292,MATCH
VKS,2,4,50.0,6,2,33.0,3,1,33.0,7,6,86.0,24,17,71.0,ZAM+4,2.0,1.14,8244,MATCH
ZAM+4,2,4,50.0,6,2,33.0,3,0,0.0,15,5,33.0,16,7,44.0,VKS,2.0,1.14,8244,MATCH
VKS,2,2,100.0,2,2,100.0,0,0,,4,3,75.0,10,8,80.0,mato30eperco,1.0,1.14,8232,MATCH
mato30eperco,0,2,0.0,4,0,0.0,4,0,0.0,1,0,0.0,7,3,43.0,VKS,1.0,1.14,8232,MATCH
paiN,1,4,25.0,8,1,12.0,2,0,0.0,12,3,25.0,14,6,43.0,VKS,2.0,2.01,9101,MATCH
VKS,3,4,75.0,5,3,60.0,1,0,0.0,6,5,83.0,24,18,75.0,paiN,2.0,2.01,9101,MATCH
IMP,0,2,0.0,4,0,0.0,3,0,0.0,2,0,0.0,10,6,60.0,VKS,1.0,2.01,9260,MATCH
VKS,2,2,100.0,2,2,100.0,1,1,100.0,5,3,60.0,11,7,64.0,IMP,1.0,2.01,9260,MATCH
S5,1,4,25.0,8,1,12.0,5,1,20.0,8,4,50.0,17,6,35.0,VKS,2.0,2.01,9425,MATCH
VKS,3,4,75.0,5,3,60.0,0,0,,7,6,86.0,26,17,65.0,S5,2.0,2.01,9425,MATCH
VKS,0,2,0.0,4,0,0.0,1,0,0.0,6,4,67.0,13,7,54.0,Vorax,1.0,2.02,10342,MATCH
Vorax,2,2,100.0,3,2,67.0,0,0,,6,3,50.0,15,8,53.0,VKS,1.0,2.02,10342,MATCH
B4,2,6,33.0,11,4,36.0,6,1,17.0,15,11,73.0,38,19,50.0,VKS,3.0,2.02,10346,MATCH
VKS,4,6,67.0,7,4,57.0,5,2,40.0,21,8,38.0,37,21,57.0,B4,3.0,2.02,10346,MATCH
SLK,1,4,25.0,6,1,17.0,5,0,0.0,7,3,43.0,22,10,45.0,VKS,2.0,2.02,10348,MATCH
VKS,3,4,75.0,5,3,60.0,2,0,0.0,9,7,78.0,24,16,67.0,SLK,2.0,2.02,10348,MATCH
VKS,2,6,33.0,8,3,38.0,2,0,0.0,17,11,65.0,27,16,59.0,SHK,3.0,2.03,13024,MATCH
SHK,4,6,67.0,10,5,50.0,4,1,25.0,16,5,31.0,24,13,54.0,VKS,3.0,2.03,13024,MATCH
paiN,0,4,0.0,8,0,0.0,4,0,0.0,4,0,0.0,20,10,50.0,VKS,2.0,2.03,13026,MATCH
VKS,4,4,100.0,4,4,100.0,3,1,33.0,6,5,83.0,23,16,70.0,paiN,2.0,2.03,13026,MATCH
GLB,4,6,67.0,8,4,50.0,5,0,0.0,20,10,50.0,35,15,43.0,VKS,3.0,2.03,13027,MATCH
