Team,Pistol_W,Pistol_P,Pistol_WR,Eco_0_5_P,Eco_0_5_W,Eco_0_5_WR,Semi_Eco_5_10_P,Semi_Eco_5_10_W,Semi_Eco_5_10_WR,Semi_Buy_10_20_P,Semi_Buy_10_20_W,Semi_Buy_10_20_WR,Full_Buy_20_P,Full_Buy_20_W,Full_Buy_20_WR,Opp_team,Num_maps,Patch,match_id,Map
SLK,3,4,75.0,7,3,43.0,4,0,0.0,8,3,38.0,26,18,69.0,Vorax,2.0,2.01,9424,MATCH
Vorax,1,4,25.0,7,1,14.0,3,0,0.0,10,6,60.0,25,14,56.0,SLK,2.0,2.01,9424,MATCH
SLK,3,4,75.0,5,3,60.0,6,0,0.0,13,7,54.0,23,10,43.0,FURIA,2.0,2.01,9422,MATCH
FURIA,1,4,25.0,5,1,20.0,3,1,33.0,14,9,64.0,25,16,64.0,SLK,2.0,2.01,9422,MATCH
Vorax,2,2,100.0,2,2,100.0,1,0,0.0,10,5,50.0,11,4,36.0,SLK,1.0,2.01,9257,MATCH
SLK,0,2,0.0,4,0,0.0,1,0,0.0,4,3,75.0,15,10,67.0,Vorax,1.0,2.01,9257,MATCH
Vivo Keyd,1,4,25.0,4,1,25.0,7,2,29.0,10,5,50.0,24,11,46.0,SLK,2.0,2.01,9099,MATCH
SLK,3,4,75.0,6,3,50.0,4,0,0.0,8,5,62.0,27,18,67.0,Vivo Keyd,2.0,2.01,9099,MATCH
VK Gaming,2,4,50.0,6,2,33.0,2,0,0.0,11,5,45.0,25,11,44.0,SLK,2.0,2.01,9086,MATCH
SLK,2,4,50.0,6,2,33.0,1,0,0.0,8,6,75.0,29,18,62.0,VK Gaming,2.0,2.01,9086,MATCH
Vorax,2,2,100.0,2,2,100.0,1,0,0.0,10,5,50.0,11,4,36.0,SLK,1.0,2.01,9257,MATCH
SLK,0,2,0.0,4,0,0.0,1,0,0.0,4,3,75.0,15,10,67.0,Vorax,1.0,2.01,9257,MATCH
SLK,3,4,75.0,5,3,60.0,6,0,0.0,13,7,54.0,23,10,43.0,FURIA,2.0,2.01,9422,MATCH
FURIA,1,4,25.0,5,1,20.0,3,1,33.0,14,9,64.0,25,16,64.0,SLK,2.0,2.01,9422,MATCH
SLK,3,4,75.0,7,3,43.0,4,0,0.0,8,3,38.0,26,18,69.0,Vorax,2.0,2.01,9424,MATCH
